Sold-To Number,Sold-To Name,Sold-To Street Address,Sold-To City,Sold-To State/Province,Sold-To Postal Code,Ship-To Number,Ship-To Name,Ship-To Street Address,Ship-To City,Ship-To State/Province,Ship-To Postal Code,Order#,Order Type,PO#,Order Source,Order Date,Order Header CRD,Order Header Payment Terms,Order Header Currency,Credit Status,Line Item Hold Status,Line Item Payment Terms,Line Item CRD,Style-Color No.,Style Name,Color Description,Product Division,Gender/Age,Core Focus,Unit Net Price,Unit Wholesale Price,Unit Suggested Retail Price,Size,UPC,Requested,Rejected,Shipped,Remaining Open,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH7347-111,Nike Pegasus Premium,WHITE/WHITE-SAIL-BLACK,Footwear,WOMENS,RUNNING,101.18,121.9,230,6,00197864688892,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH7347-111,Nike Pegasus Premium,WHITE/WHITE-SAIL-BLACK,Footwear,WOMENS,RUNNING,101.18,121.9,230,6.5,00197864690291,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH7347-111,Nike Pegasus Premium,WHITE/WHITE-SAIL-BLACK,Footwear,WOMENS,RUNNING,101.18,121.9,230,7,00197864688793,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH7347-111,Nike Pegasus Premium,WHITE/WHITE-SAIL-BLACK,Footwear,WOMENS,RUNNING,101.18,121.9,230,7.5,00197864690505,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH7347-111,Nike Pegasus Premium,WHITE/WHITE-SAIL-BLACK,Footwear,WOMENS,RUNNING,101.18,121.9,230,8,00197864688755,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH7347-111,Nike Pegasus Premium,WHITE/WHITE-SAIL-BLACK,Footwear,WOMENS,RUNNING,101.18,121.9,230,8.5,00197864688854,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH7347-111,Nike Pegasus Premium,WHITE/WHITE-SAIL-BLACK,Footwear,WOMENS,RUNNING,101.18,121.9,230,9,00197864690345,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH7347-111,Nike Pegasus Premium,WHITE/WHITE-SAIL-BLACK,Footwear,WOMENS,RUNNING,101.18,121.9,230,9.5,00197864689011,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH7347-111,Nike Pegasus Premium,WHITE/WHITE-SAIL-BLACK,Footwear,WOMENS,RUNNING,101.18,121.9,230,10,00197864689714,1,0,0,1,
509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,509343,RENEGADE RUNNING LLC,45 GRAND AVE,OAKLAND,CA,94612-3727,5028533086,ZSTA,9-1 ALLOCATED FW OAKLAND,NET,11/3/2024,9/1/2025,Net 30,USD,Under_Credit_Review,,Net 60,,IH3575-999,Nike Alphafly 3 Premium,MULTI-COLOR/CLEAR-STARFISH-ALOE VERDE,Footwear,MENS,RUNNING,134.17,161.65,305,8,00198486126403,1,0,0,1,
